Post_Text,Emotions
i want and don t want but i m starting to feel resentful about him missing all the signals i m sending him,anger
im feeling the christmas spirit so it seems like the perfect time to mention an idea ive had swimming around in my head,joy
i am feeling more and more eager to get on with my move,joy
i feel more and more convinced especially after a very rough last year that finding someone you love and who loves you wholeheartedly in return can change the course of your life and give the spice and emotional support to live it,joy
i feel as if i am the beloved preparing herself for the wedding,joy
ive this bad feeling that im being hated,sadness
i feel shamed in a way but in another way i just dont care anymmore,sadness
i feel embarrassed writing about it,sadness
i feel like im so spiteful so negative about everything and everyone now,anger
i feel oh so irritable and then it all spins round again,anger
im quite bored but feel intelligent for no real apparent reason,joy
i feel as if he was getting beaten to areas of the ice a defenseman shouldn t,sadness
i just finished watching the desendants and young adult and im left feeling strangely blank,sadness
i really want to be a better person and i finally feel confident enough in myself to take the next step and create the building blocks of a new successful life,joy
i feel i ve had more unhappy years than happy ones,sadness
i now know how bad it feels like to have someone disappointed in me,sadness
when my grandmother died after a long illness,sadness
i feel a little vain i guess but last time i did this i seriously composed a a href http inthewarmholdofyourlovingmind,sadness
i have also been getting back into my gym routine so im feeling positive about this now,joy
i want to do those things while im still young and feel a little fearless,joy
i feel terrific but won t hammer it home,joy
i am feeling uncertain about anything that we can have an open dialogue about it,fear
i anticipated feeling ecstatic jubilant over the moon wired giddy,joy
i accept the medication until i dont feel too troubled by those i will never have the full benefices from them,sadness
i do have some pictures in my head of stuff i d like to sew when i get a chance if i m feeling brave i will blog about these projects if for no other reason to make others feel better about themselves,joy
i have often observed that at times when it seems i should feel something im surprised by how disconnected i feel to the people and world around me,surprise
i feel quite jaded and unenthusiastic about life on most days,sadness
i feel like being casual,joy
i feel like i ve been having some issues with focus and exposure lately and i m not sure if it is my camera or me,joy
i feel excluded and worthless my connection to everyone summarily cut off,sadness
i cant find it and yet i feel that i am longing for something,love
i feel less keen about the army every day,joy
i feel like a graph doesnt show the data accurately enough to be useful,joy
ive been feeling kind of bitchy lately,anger
i have personally experienced this gut wrenching feeling and kicked myself later for making those dumb mistakes that result when anxiety gets in the way,sadness
i feel for the death of this innocent child i dont trust her or her story,joy
i get this overwhelming feeling that i am truly blessed,joy
i feel more outgoing than ever,joy
i rarely feel inspired and ready to write,joy
im sure of how i feel and what i want in life everything has gotten messy,sadness
i meet up with the team i don t feel welcomed or accepted,joy
i almost feel funny not adding a picture at the bottom of my post like denis and dave,surprise
i will help you in setting the table picking up the dishes after we finish eating and if i feel particulary charming on that day will not pick at my food search for lizards in your house or come out looking green to my gills after having used your restroom,joy
i have gained some weight i feel very insecure in my self image,fear
