Post_Text,Emotions
im in confuse and feeling so blank rite now,sadness
i know what i believe and how i feel but some part of me is still hesitant because the old me would have said that anyone who believed there was a god was crazy,fear
i lie awake for hours and look at him and at times i feel so ashamed of my thoughts,sadness
i instantly feel anxious that a police officer is going to pull me over,fear
i listen to the hurricane rain outside the window i feel a little melancholy,sadness
i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,love
i feel weird knowing mine died when i wasn t around,surprise
i feel pressured helpless because i dont have control over this,fear
i feel assaulted when i hear the radio ad,fear
i honestly never expected to feel so vulnerable,fear
i actually begin to feel sorry for him that he has settled for someone like me for life,sadness
i often feel fucked regardless,anger
i would feel like a hypocrite supporting palin for any of those reasons,joy
i didnt feel too needy i didnt feel too emotional,sadness
im feeling a bit greedy,anger
i would have liked to go out but i just wasnt feeling it and i think it was partly because it would be with someone that i am not thrilled with being around right now,joy
i just feel very satisfied and content,joy
i feel really fucked up why do such things always happen to me,anger
i can feel the hesitation the temptation to pull back and dull the activities of the season out of habit,sadness
i still feel so agitated,anger
i just read this on yahoo and thought it verrrrrrrryyyy interesting n n n n red may be the color of love for a reason it makes men feel more amorous ntoward,love
i feel honoured and humbled cos hes a legend and one i still look up to,joy
i love this service because it is easy to use set up amp because i feel like by using the service im supporting a small company which we all know i love to do,love
i had been lying to myself feeling that maybe because i so loved spending time with this fellow and thought he enjoyed his time so equally with me that maybe the ends justified the means,love
i almost could feel it attempting to smother me like a hot blanket pressed down over me,love
i had this gut feeling that i was going to be ok,joy
i feel very resolved yet somehow very depressed,joy
i highly recommend it if you want to feel totally amazing ab,joy
im feeling so doubtful today,fear
i look out on this scene i think about how cute it is and enjoy a swelling feeling of pride in the playful delight of my dog,joy
i feel christmas more special than ever,joy
im tired of feeling so lethargic,sadness
im feeling emotionally vulnerable right now and just want to throw up in peace so i can go back up and party hard,fear
i know you do but i m feeling impatient cause i asked you a question in mine and i m waiting for an answer,anger
i feel stupid the pointlessness of the cu,sadness
i am feeling called to show up in a more faithful way,love
i didnt feel that i was caught in a limbo between carefree and responsibility,joy
i feel pathetic because i feel like you never once called me your bestfriend and i just continued to call you my bff and i just get treated like a friend,sadness
i am thrilled for a lot of these things i feel petrified,fear
i write when im feeling in the mood to dont let the cute face and my shyness ever fool you im here,joy
i feel the echoes of the divine so very close,joy
i sat down at the table for lunch after proclaiming how amazing i felt considering i started to feel weird,surprise
i do not feel glamourous,joy
i had a feeling that was going to happen once i accepted the job offer because life likes to throw you lots of curveballs,love
i didnt end up with that popular guy before the feeling i had when i was rejected its like a break up what i thought during that time la,sadness
i don t feel bitter about my lot nor do i wish any other mother s son was in my place,anger
i feel greedy about my work img height src http forums,anger
im feeling very optimistic about it and find myself wanting to ride more and more,joy
i do not know these people since they are not a resident of this room and for them to treat me in such a way that i feel angered,anger
i feel so annoyed,anger
im feeling lonely while scott is at work,sadness
i feel that im as curious as when i was a child,surprise
i like to finish on a positive note that whenever i feel a bit fearful or down i can just remember something nice about me and rich and it cheers me up,fear
i feel invigorated as i am one,joy
i do believe looking good feeling food being more productive and professional making more money,joy
i feel like my life is not moving smoothly i immediately look around amp see if i can be at service while focusing on giving and supporting others,joy
i want people to feel brave and i want society to accept us as disabled people amongst us who deserve dignity and respect not to be shunned and laughed at,joy
i was just wondering if that is common and why some girls feel the need to seem less intelligent than they really are,joy
i always dread but end up leaving feeling positive,joy
i feel blank the more it freaks me out,sadness
i feel angry because instead of asking how am i with my problem he accusing me and i am mad because it finally confirm what kind of person he is,anger
i overcome the claustrophobic feeling that i get after i dont know but what i do know is that there is a path i need to follow to get to my vision and i need to make sure the road i choose has to lead there,joy
i feel rather disheartened suddenly,sadness
i inspect samples of wheat i started feeling that i was a suspicious character,fear
im starting to feel less like i have a cute little bump and more like i have a bigger belly,joy
i hope something magical happens today because im feeling kind of listless,sadness
i feel utterly depend on my sweet jesus to carry me through the next day hour mile conversation minute,joy
i believe the most readers feel impressed by the individual journey,surprise
i feel rejected by all the men i like i gave up on asking why and what i did so they ran away,sadness
i first entered the clinic i feel very welcomed by the beautiful ivory themed furnitures because the whole clinic look very clean spacious and professional and the cheerful consultants awaiting for me at the reception with a smile of course,joy
i really want to be proud to say i ve lost x amount of weight rather than feel discouraged because i m not where i want to be,sadness
i feel most inspired when i experience some sort of heightened situation,joy
im going to be after the birth of this baby feels shaky,fear
i wonder why i feel surprised that things are different than i expected,surprise
i volunteer at bard and always feel respected,joy
i want to make is this final one when we feel abused at these writers faking it we rupture the reader writer relationship,sadness
i feel that i don t have anything to contribute to the conversation about books and that my writing is boring shallow bunk,sadness
i feel so empty idk i came home early from school,sadness
i feel awful that your experience did not reflect that,sadness
i feel bad about school,sadness
i get the feeling that im valued have potential and am very welcome,joy
i spent the following months in a drug induced haze incapable of thought or feeling but it wasn t anything as glamorous,joy
im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,surprise
i feel like i have weird sugar issues that my hunger is all over the place,surprise
im feeling very indecisive about turning eighteen but hey the age does come with its own ups and downs right,fear
i feel like we rushed through this weekend,anger
i still feel vulnerable and hurt but its manageable,fear
im feeling well in front of the computer and in my theory for me computer are for healthy kids,joy
ive moved to northern saskatchewan i feel truly victimized,sadness
i feel in me sparkle sweet passion aretha love all the hurt away jump to it the jamaica world music festival greatest hits whos zooming who aretha i knew you were waiting for me feat,joy
i throw it out there the better ill feel heck im paranoid up such a tree brach right now i jumped when a chipmunk crossed my path when i went walking today,fear
i guess we all feel ugly in some sort of way,sadness
